Company Name,School Name,# Hired Employees,Company Url
Ionis Pharmaceuticals, Inc.,UC San Diego,67,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,San Diego State University,33,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,UC Irvine,20,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,California State University San Marcos,19,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of California, Los Angeles,17,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,UC Santa Barbara,16,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of California, Berkeley,12,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of San Diego,11,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,The University of Texas at Austin,10,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,Palomar College,9,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of California, Riverside,8,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of California, San Diego - School of Medicine,8,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of Southern California,8,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,University of Minnesota,8,https://www.linkedin.com/company/ionis-pharmaceuticals
Ionis Pharmaceuticals, Inc.,UC San Diego Extended Studies,8,https://www.linkedin.com/company/ionis-pharmaceuticals
Arcturus Therapeutics,UC San Diego,25,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,San Diego State University,9,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,University of California, Los Angeles,8,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,California State University San Marcos,5,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,UC Irvine,5,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,UC Santa Barbara,5,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,Brigham Young University,4,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,Savitribai Phule Pune University,3,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,National University,3,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,El Camino College,3,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,San Diego Miramar College,3,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,The Hebrew University of Jerusalem,2,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,University of Arizona,2,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,California State University, Long Beach,2,https://www.linkedin.com/company/arcturus-therapeutics
Arcturus Therapeutics,Stanford University,2,https://www.linkedin.com/company/arcturus-therapeutics
Alnylam Pharmaceuticals,Northeastern University,123,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Boston University,53,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of Massachusetts Amherst,52,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of Massachusetts Boston,31,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Tufts University,25,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of Massachusetts Lowell,24,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Massachusetts Institute of Technology,23,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of New Hampshire,22,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Worcester Polytechnic Institute,21,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of Rhode Island,21,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Harvard University,20,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Cornell University,20,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of Connecticut,17,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,Salem State University,15,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Alnylam Pharmaceuticals,University of Washington,11,https://www.linkedin.com/company/alnylam-pharmaceuticals/
Sarepta Therapeutics,Northeastern University,46,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,The Ohio State University,35,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,University of Massachusetts Lowell,28,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,Boston University,26,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,University of Massachusetts Amherst,22,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,University of New Hampshire,22,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,Tufts University,15,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,Massachusetts College of Pharmacy and Health Sciences,13,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,Oregon State University,11,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,Penn State University,11,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,University of Massachusetts Boston,10,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,University of Maine,9,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,Merrimack College,9,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,The Johns Hopkins University,8,https://www.linkedin.com/company/sarepta-therapeutics/
Sarepta Therapeutics,University of Michigan,7,https://www.linkedin.com/company/sarepta-therapeutics/
BioNTech SE,Johannes Gutenberg University Mainz,189,https://www.linkedin.com/company/biontech-se/
BioNTech SE,The Philipp University of Marburg,82,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Goethe University,81,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Heidelberg University,51,https://www.linkedin.com/company/biontech-se/
BioNTech SE,The Julius Maximilians University of Würzburg,40,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Technische Universität Darmstadt,40,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Technische Hochschule Mittelhessen,32,https://www.linkedin.com/company/biontech-se/
BioNTech SE,University of Tübingen,31,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Ludwig-Maximilians-Universität München,30,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Northeastern University,30,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Provadis School of International Management and Technology AG,30,https://www.linkedin.com/company/biontech-se/
BioNTech SE,The University of Göttingen,26,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Justus Liebig University Giessen,25,https://www.linkedin.com/company/biontech-se/
BioNTech SE,Hochschule Fresenius,18,https://www.linkedin.com/company/biontech-se/
BioNTech SE,RheinMain University of Applied Sciences,16,https://www.linkedin.com/company/biontech-se/
Moderna,Northeastern University,223,https://www.linkedin.com/company/modernatx/
Moderna,University of Massachusetts Amherst,131,https://www.linkedin.com/company/modernatx/
Moderna,University of Rhode Island,98,https://www.linkedin.com/company/modernatx/
Moderna,Boston University,82,https://www.linkedin.com/company/modernatx/
Moderna,Worcester Polytechnic Institute,71,https://www.linkedin.com/company/modernatx/
Moderna,University of Massachusetts Lowell,64,https://www.linkedin.com/company/modernatx/
Moderna,University of Massachusetts Boston,49,https://www.linkedin.com/company/modernatx/
Moderna,University of New Hampshire,45,https://www.linkedin.com/company/modernatx/
Moderna,Tufts University,44,https://www.linkedin.com/company/modernatx/
Moderna,Harvard Medical School,42,https://www.linkedin.com/company/modernatx/
Moderna,Massachusetts Institute of Technology,42,https://www.linkedin.com/company/modernatx/
Moderna,University of Massachusetts Dartmouth,41,https://www.linkedin.com/company/modernatx/
Moderna,Harvard University,40,https://www.linkedin.com/company/modernatx/
Moderna,Penn State University,37,https://www.linkedin.com/company/modernatx/
Moderna,Rutgers University,36,https://www.linkedin.com/company/modernatx/
Arrowhead Pharmaceuticals,University of Wisconsin-Madison,53,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,UC San Diego,12,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,Madison Area Technical College,9,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of California, Los Angeles,8,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,UC Irvine,6,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of Southern California,6,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of Illinois Urbana-Champaign,6,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of Wisconsin-La Crosse,6,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,California State University, Northridge,5,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,Purdue University,5,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of Phoenix,4,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of California, Berkeley,4,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,Colorado State University,4,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,University of Minnesota,4,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
Arrowhead Pharmaceuticals,Edgewood College,4,https://www.linkedin.com/company/arrowhead-pharmaceuticals/
